querulous 抱怨的，发牢骚的
fabulous 极好的，难以置信的
divergent 不同的
prudent 审慎的
protagonist 主角
rabid 激烈
choreograph 精心安排
penalty 处罚不利结果
monochromati 单色的
grumble 抱
coerce 强制
spoil 糟
inhale 吸
emancipate 解放，释放
fervid 热心的，热情的
temper 缓和
cheerless 阴郁的
charity 慈善
infectious 传染性的有感染力的
immense 巨大的
towering 高大的，卓越的
deviate 越轨，偏离
grandiose 宏伟的，浮夸的
vociferous 喧闹的
obloquy 诽谤耻辱
feigned 假的
earthly 尘世的，人间的
obeisance 尊敬
renaissance 复兴
pushover 容易被击败的人
abdicate 放弃
interminable 冗长的
slant 观点
obtrude 强加，强迫
unblemished 崭新的，清白的
indemnify 赔偿
weighty 重要的，严肃的
distend 膨胀
penance 苦修，忏悔
fertile 富饶的，肥沃的
epoch 时代，纪元
capricious 变化无常的
gravitate 被吸引
mitigate 缓和
debunk 揭露
harass 使困
encapsulate 压缩
profligate 挥霍
cavalier 轻蔑的
willful 任性的故意的
witty 诙谐的，风趣的
tout 赞扬，吹捧
ideologue 狂热支持某种理念的人
surplus 剩余
cherish 珍爱怀有
umbrage 生气
ubiquitous 无处不在的
nimble 敏捷的敏锐的
perverse 堕落的，不正当的
fictitious 虚假
vacillation 犹
amplify 夸大详细描述
disenchant 使幻
balanced 公正的沉着冷静的
steadfast 坚定的
converge 使汇聚
accord 和
underplay 淡化的重要性
insurrection 叛乱
probe 调查，探究
emblematic 象征的
predominant 占优势的，主导的
moody 喜怒无常的忧郁的
sham 假东
bifurcate 一分为二
underlie 构
induce 引起
succor 救援
synergy 协同，协同作用
mordant 尖刻的
encomium 赞美
fashion 使成形，制作
reproduce 再现
spin 旋转
hallmark 特征，特点，标志
sporadic 零星的
chicanery 欺骗
garish 过分
wane 衰落，减少衰落期
retribution 严厉的惩罚
thorough 周密的彻底的
abound 充满
ornamental 装
compensate 补偿
appraise 评估
confederacy 联邦，同盟
intuitive 凭直觉的
render 给
rampant 泛滥的，疯长的
redeem 补救，
minutia 琐事，细节
imprudent 轻率的，鲁莽的
virulent 剧毒的恶意的
prune 删除，修剪
screed 冗长的文章
conflate 合并
overshadow 超越
dispense 分配，提供
hagiography 理想化（传记）
invaluable 非常宝贵的
grandeur 壮丽，宏伟
cognizant 有
bogus 伪造
elaborate 详尽的
byline 署名行
jeremiad 悲叹
intrinsic 本质的
sequel 继续，后果
luxuriant 茂盛的丰富的
aesthetic 审美的美观的
redolent 芬芳
detract 贬低
elegiac 哀悼的
counterpart 对应的人或物
optimism 乐观
girth 腰围
arrogant 傲慢的
rejoice 高兴，喜悦
cluster 聚集
cloak 掩盖
rife 流行的，普遍的
partisan 有偏见的
peripheral 边缘的
nascent 刚出
overt 公开的
nonplus 使迷惑
irrefutable 无法反驳的
rant 咆哮严厉批评
hortatory 劝告的
tendentious 有倾向性的
indignant 愤愤不平的
antecedent 先例
fuel 支持，
intrude 打扰，干涉
naysayer 唱反调的人
whimsical 难以预测的
belittle 轻
edible 可食用的
beneficence 慈
preternatural 异乎寻常的
brackish 令人恶心的
consummate 完美的
proposition 观点，主张
bewilder 使迷惑
auspicious 有望成功的
restless 焦躁不安的
scarce 缺乏的
narcissism 自
celebrate 赞美
hypercritical 吹毛求疵的
denounce 谴责
pedigree 血统，来源
unsettle 使不安
congest 拥挤，堵塞
abuse 虐待误用恶习
combustion 燃烧
inextricable 无法解决的
misguide 误导
sententious 说教的，劝诫的
dilapidate 毁坏，荒废
imitate 模仿
destructive 破坏的
flamboyant 耀眼的
coarse 粗糙的粗鲁的
residual 剩余的，残余的
insult 侮辱
calibrate 校正，调整
effulgent 光辉灿
agonize 感到痛苦，挣扎
mutual 相互
high-minded 高尚的
adorn 装饰
contemporary 当代的同时代的
merchandise 推销
camouflage 伪
exultant 狂喜的
panegyric 颂词，赞颂
subterfuge 诡计
avant-garde 先锋派
obsessed 着迷的
mighty 强有力的
culpable 有罪的
fetter 束缚
condescendin 显得有人一等的
temporary 暂时的
centralize 集中使集权
halcyon 宁静的，
dejected 沮丧的
hysteria 不正常的兴奋，歇斯底里
ironic 讽刺的
antebellum 战
awash 充斥的
overextend 过分扩展
autocrat 独裁者
utopia 不切实际的幻想
impenetrable 无法理解的
tribulation 苦难，艰辛
sentimental 伤感的，多愁善感的
imbibe 饮酒吸收，接受
endorse 支持
cynical 愤世嫉俗的
intimate 亲密的暗示
predispose 使
needy 贫穷的，贫困的
chivalrous 勇敢的绅士风度的，礼貌的
forfeit 失去，被没收
impair 损害
rage 愤怒
glib 油嘴滑舌的
burlesque （用滑稽戏进行的）讽刺
blameless 无可指责的
strain 尽力
lackluster 平凡的，无光泽的
stratified 形成阶层的，分层的
repertoire 全部节目
bumbling 笨手笨脚的
quiver 颤抖
emphatic 强调的，显著的
foretell 预言，
pivotal 重要的
calculated 有计划的
transcend 超越
rapport 融洽，和睦关系
conform 遵从与一致
foundation 创建基础，根据
fetishize 盲目迷
braggadocio 牛
plagiarize 剽窃，抄袭
revive 复兴，复活
gaffe 失礼
sympathetic 同情的
sartorial 裁缝的，制衣的
providential 幸运的
mirth 欢乐，欢笑
cleave 忠诚于劈开
anomaly 异常
peregrinate 旅
enjoin 命令
compartmental 分开
airborne 空气传播的
vainglorious 自负的
curator 管理员
burgeon 迅速生长
concrete 真实的详细的
fury 狂怒
espouse 拥
sloth 懒散，懒惰
adverse 不利的逆的
quack 庸医
finale 结尾
obnoxious 惹人讨厌的
quirky 奇怪的
laudatory 赞美的
backfire 事与愿违
garnish 装饰
earnest 非常认真的，真诚的
idiomatic 惯用的
revile 辱骂
accession 就职遵守
vacant 空的心不在焉的
unchecked 未受抑制的
heinous 十恶不赦的
fetid 恶臭的
civic 公民的
obstacle 障碍
taciturn 沉默寡言的
delve 钻研
confiscate 没收
bloom 繁荣，繁盛
abnegation 否认
trammel 束缚
apathy 冷漠
controversial 有争议的
enrich 使丰富
conjure 想象提出
amenable 愿意的，服从的
strand （线、绳、毛发等的）股，缕
refine 改进，完善
charisma 个人魅力
requisite 必需的
cast-iron 坚
missionary 传教士
advantage 优势利益
instrumental 有帮助的
vested 既定的，既得的
inure 使习惯
resort 求助
downplay 不予重视
decadent 堕落的，衰退的
nonsensical 无意义的，荒谬的
informative 提
elate 使
levity 轻浮，轻率
upsurge 急
invidious 引起反感的
impetuous 鲁莽的
misnomer 名称误用
cunning 狡猾的
ambivalence 矛盾
intermediary 中
undermine 暗中破坏
court 招致
flatter 谄媚，拍马屁
implicate 使卷入
permeable 可渗透的
comparable 相似的
devoid 缺乏
expedite 加快
prescient 有预知能力的
backhanded 间接的
abominate 憎
uneven 不规则的不整齐的
stereotype 刻板地做事情
ecumenical 普遍的，世界范围的
impeachable 可控告的
spiteful 有恶意的，恶
forthcoming 即将到来的
insipid 枯燥乏味的
justify 证明有理
counterfeit 伪造
provenance 起源
handicap 障碍，不利因素
constrain 限制强迫
genial 友善的
quash 平息否决
recalcitrant 桀骜不驯的
snare 陷阱，圈套
abstinence 节制
upbeat 乐观
aback 吃惊地
deplete 耗尽
prerogative 特权
unalloyed 纯粹的
stemma 家谱
contaminate 污染，弄脏
ignorance 无知
exasperation 恼怒
incumbent 在职者
extensive 广泛的，大量的
pensive 沉思的忧郁的
oust 罢黜，驱逐取代
businesslike 高效率的
contrite 后悔的
wither 凋谢，枯萎
unsurpassed 无可比拟的
uncharted 全新的，未知
virtuosity 精湛技艺
condone 宽
disquiet 使不安，使焦虑
apocryphal 虚假的
steer 控
ignite 激发
unearth 发掘，揭露
dreary 枯燥乏味的
engaging 迷人的
verve 活力，激情
unflappable 镇定的，不慌张的
surfeit 过量
secondhand 间接的
indict 控告
resolute 坚决的，果断的
interject 插嘴
unambiguous 清晰的
utter 完全的表达
limpid 清晰的
artful 巧妙的
mar 损害
ductile 易受影响的，易延展的
seethe 激动
comprehend 理解
absurd 荒谬的
minute 极小的，微
remarkable 显著而惊讶的
vulnerable 易受攻击的，脆弱的
pastiche 大杂烩
incursion 入侵进入
halt 停止
engrossing 引人入胜的，非常有趣的
veer 改变方向
astronomical 天文数字般的
prying 窥探的，爱打听的
contemptuous 轻蔑的
magnanimous 宽宏大量的
scathing 尖
sweeping 彻底的
malodorous 难闻
entreat 恳求
florid 绚
revitalize 使复活，使复兴
petty 琐碎的，不重要的
detritus 碎屑，碎片
flair 天资，天分
sever 割
cryptic 难解的
lucid 清晰的，易懂的
assiduous 努力的
enlighten 启发，教导
vertiginous 眩晕的
opinionated 固执己见的
munificent 慷慨的，大方的
abrogate 废除，取消
pendulum 摇摆不定
unostentatious 不夸耀
formulaic 老套的，公式化的
vertigo 眩晕，头晕
settled 稳定的，固定的
prestige 威望
retrofit 改进
futile 无
nullify 使无效
melodious 悦耳的，旋律优美的
effusive 溢于言表的，感情丰富的
genteel 彬彬有礼的
anthropogenic 人为的
confluence 汇合，汇集
clamorous 吵闹的
persist 坚持不懈
slumberous 昏睡的
transparent 透明
expatriate 流放，放逐
reparation 赔偿
bereave 剥夺，使失去
molder 腐烂，发霉
pessimistic 悲观的
expel 开除，驱逐
expurgate 删除
self-evident 不证自明的
peruse 仔细研究
sidestep 回避
concede 承认
zealot 狂热者
albeit 即使
tantalize 逗引，撩拨
tawdry 廉价而俗丽的
lucubration 刻苦钻研
analytical 善于分析的，冷静客观的
sectarian 狭隘的
pitfall 陷阱困难，危险
pique 激怒，刺激
caricature 夸张的描述
durable 持久的
villainous 邪
vibrant 生机勃勃的
ascribe 归因于
buoy 使振奋
recondite 晦涩难懂的
self-regard 关注自身利益
abash 使羞愧，使窘迫
flummery 假恭维，胡言乱语
multitudinous 大量的，众多的
amorphous 无固定形状的难归类的
attenuate 使减弱
connote 意味着
exculpate 开脱罪行
outright 完全的，彻
override 否决，
miserly 吝啬的
barbarity 残暴
baroque 奢华的，复杂的
bishop 主教
entangle 使纠缠
evangelist 热情的推动者
elongate 拉长
recapitulate 概括
shortcut 捷径
prescribe 规定
rapacious 贪婪的
adjacent 毗邻的
usher 引导，
rattle 使紧
outdated 过时的
cronyism 任人唯亲
progenitor 祖先，起源
splendor 壮丽，光彩
slipshod 马虎
manuscript 手稿
duplicity 欺骗
mince 矫揉做作地说
innocuous 无害的无意冒犯的
seclusion 与世隔绝
xenophobic 排外的，恐惧外国人的
commotion 骚动，暴
quizzical 古怪
proverbial 俗
grouchy 抱怨
stilted 呆板的，生
audacious 大胆的
compunction 后悔
incompatible 矛盾
bemoan 埋怨
modulate 调节
fitting 合适的
juxtapose 并列放置
canonical 经典的
prophetic 有预
disseminate 传播
motley 混杂
inscrutable 难以理解的
intangible 无形的，无
caterwaul 发出让人不爽的噪音
rally 团结，集会
uprising 起义，暴动
fiscal 财政的，国库的
sacrifice 牺牲
disconcert 使
idle 不工作的，闲置的懒散的
flout 公然藐视
grotesque 荒诞的，荒唐的
govern 治理决定
antipathy 反感，厌恶
shrewd 精明的
thrift 节约
importunate 强求的，纠缠不休的
meander 蜿蜒而行漫步
betray 表明，揭
presuppose 以为前提
derelict 玩忽职守的，废弃的
intriguing 有
exploit 利用剥削
demur 表示反对
propitious 吉利的
ossify 使僵化
castigate 严厉批
query 质疑
ethical 伦理的，道德的
comply 遵从，顺从
enigmatic 神秘难懂的
antagonistic 敌对的
universal 广泛的普遍适用的，无处不在的
ascetic 苦行的，禁欲主义的
allege 断言
tactic 策略，战略
slender 苗条的，细长的
leak 泄露
abstruse 难理
reiterate 重申
mirror 反映
conjunction 结合
clutch 抓住
pathos 引起怜悯或同情的元素
respite 喘息
sermon 布道，训诫
avenge 报仇
redouble 大量增加
penitent 忏悔的
annal 记录，编年史
mold 塑造
lethargic 无精打采的
ephemeral 短暂的
exposition 阐述
dissipate 浪费驱散
bulky 笨重的
apocalypse 大灾难
documentary 纪实的
hinder 妨碍
motivate 激励，刺激
bungle 搞砸
disinclination 不情愿
comical 滑稽的，好笑的
grimy 肮脏的，污秽的
stingy 吝啬的微小的
extraordinary 非凡的，特别的
diverting 有趣的
tentative 试验性的，尝试性的
obtrusive 惹眼的
voluble 健谈的
bitter 怨恨的，气愤的苦涩的
unattainable 无法获得的，无法达到的
hitherto 迄今为止
draconian 严厉的，
delude 欺骗，哄骗
heartrending 令人心碎
simulate 模仿，假装
bedrock 基础
banter 打趣
quaff 痛饮
progeny 子
benefactor 捐助人
inculpate 控告
poise 平衡，镇定
barren 贫瘠的，荒芜的
inexplicable 费解的
tilt 倾斜，偏见
attorney 律师
ideology 意识形态
incomprehensi 费解的
objurgation 斥责，责
palpable 明显的，可感知的
abject 凄惨的
timid 胆怯的，羞怯的
echo 重复，模
fatigue 疲劳，疲乏
boundary 界限
toady 谄
tweak 改进
polymath 博学者
timely 适时的
rhetorical 夸张的
succinct 简明的
comprehensiv 全面的
ploy 策略，计策
complacent 自满的
grave 严
stomach 忍受
unfounded 无根据的
bequeath 遗
grant 授权，允许
soothe 平息减轻
meretricious 华丽而庸俗的
lucrative 获利丰厚的
absolute 完全的不受限制
shackle 束缚束缚
prevaricate 闪烁其词
befuddle 使迷惑
adopt 收养采用
belated 迟来的
trivial 不重要的
spendthrift 挥霍的人，浪费的人
overblown 浮夸的，过分的
infuriate 激怒
level-headed 冷静的，清醒的
deflate 使减少
self-righteous 自以为是的
imminent 即
emendation 修订
empirical 根据实证或经验的
smother 抑制使窒息而死
inborn 天生的
exotic 外来的，异国风情的（含褒义）
doctrinaire 教条主义的
devastate 严重破坏，毁灭
paucity 不足
dire 可怕的，
discretionary 自由决定的
detect 发现
insular 狭隘的
impertinent 不礼貌的
minimize 将减到最低程度贬低
insulate 隔离，绝缘（不利的东西）
rationale 根本原因，逻辑依据
commence 开始
impasse 僵局
reluctant 不情愿的
abandon 放弃放纵
revision 修订
outstrip 超过
industrious 勤奋
severe 严厉的，苛刻的
malady 疾病
entrench 使牢固，确立
compound 加剧
disquisition 探讨，研究
clownish 小丑般的，滑稽的
capitulate 投降
mould 铸造，使成形
modish 流
token 象征，
parity 平等，相等
nonspecialist 非专业人士
mandate 命令
truism 老生常谈
apparel 服装，衣服
brake 阻碍，刹车
boom 繁荣，兴盛
archive 存档
proponent 支持者
immortality 不朽
deplorable 可悲的应受谴责的
bombard 攻击
ingratiate 讨好，迎合
tyrant 暴君
catastrophe 大灾难
fragmentary 碎片的，不完整的
rankle 令人愤怒
superstition 迷信
annihilate 消
ennui 厌倦，倦怠
abstain 放弃，戒除
nocturnal 夜间的
deprive 剥夺
marvel 对感到震惊
tedious 单调乏味的
elite 精英
rivalry 竞争，对抗
confessional 自白的
dishearten 使气馁
prolix 冗长的
binary 二元的，双重的
unwarranted 无根据的
arousal 兴奋
rejuvenate 使年轻，使恢复精神
incomparable 不可匹敌的
revolutionary 革命性的
sift 筛选
freewheeling 随心所欲的，自由放纵的
self-defeating 适得其反的
forerunner 先驱预兆
airtight 密封的无懈可击的
expiation 赎罪
conceal 隐藏
exacerbate 使恶化
disciple 信徒
voluminous 容量大的
grandstand 哗众取宠
sate 使心满意足
people 充满人
skittish 易受惊的
kinfolk 亲戚
disintegrate 瓦解
derivative 非原
colossal 巨大
voyeur 偷看别人隐私的人
showcase 展现，展示
negligible 微不足道的，不重要的
startling 令人惊讶的
convulsion 动乱
concord 和
pecuniary 金钱的
foresight 先见之明
usurp 篡夺，夺取
verisimilitude 逼真
clangorous 响亮的
fund 资金为提供资金
acerbic 尖刻的
disparage 贬低
animate 有生命力的激励，推动
abstemious 有节制的
choleric 易怒的，暴躁的
affect 影响喜欢假装
obsolete 废弃的，老式的
eclectic 多元化的，兼收并蓄的
affiliate 接纳，使附属分支机构
incessant 持续不断的，不停的
paradoxical 矛盾的
voracious 贪吃的贪得无厌的
posit 认为，假定
tactful 机智的，圆滑的
sophist 诡辩者哲学家
dilute 稀释
protocol 礼节，礼仪
nettle 激怒
posture 态度摆姿态
realize 意识到实现
telling 有效的，显著的
benign 和善的
enmity 敌意，憎恨
crestfallen 不高兴的
clairvoyant 有洞察力的
dissent 不同
epic 史诗的，宏大的
antidote 解药，矫正方法
magnify 赞美
bourgeois 中产阶级的
self-knowing 有自知之明的
fortify 加强，增
abase 降低地位等
ministration 帮助，援助
arduous 艰难的
amid 在
weather 忍受使风化
unexceptional 普通的
vindicate 证明正确
obfuscate 混淆，使迷惑
trigger 引发
disavow 否认
unequivocal 明确
undo 取消，使无效
adore 崇拜
anatomize 解剖分析
clueless 无知的
shelve 搁置
outrage 愤怒
languid 无精打采的，倦怠的
impede 阻碍
entail 使需要，导致
coagulate 凝结
incommensura 不能相比的
misconception 错误观念
concur 同意同时发生
testimony 证据
affirm 确信
invasive 侵略性的
vaccinate 接种疫苗
feeble 虚弱的
bravado 假装勇敢莽撞
jovial 高兴的，快活的
compassionat 有同情心的
precarious 危险的，不稳固的
considerable 相当大的
preeminent 杰出的，卓越的
pithy 简练的
propaganda 宣传
insolent 无礼的
impulsive 冲动的
addiction 嗜好
facile 肤浅的，轻率的
mogul 大佬
sordid 肮脏的卑鄙的，不诚实的
adduce 举出
corroborate 证实
zealous 热情的，狂热的
plethora 过量
refute 反驳，批驳
one-stop 一站式的
consilience 一致，符合
mutable 易变的
urgent 紧急的，迫切的
unseemly 不得体的
analgesic 止痛的
clear-cut 清晰的
parley 谈判
skim 略读，浏览
resign 使服从辞职
compatible 相容的，兼容的
testy 易怒
beguile 欺骗
augur 预言，占卜
agog 急切渴望的
discount 贬低
riddle 谜
hew 遵守，
agitate 煽动，骚动
sinister 不祥的
fathom 彻底理解
compulsory 强制的
senescence 衰老
segregate 使隔离
extinguish 熄灭毁灭
shear 修剪
figurative 比喻的，象征的
exuberant 热情洋溢的过度的
magisterial 有权威的，专横的
melodramatic 夸张的，戏剧化的
hard-boiled 不动感情的
appeal 恳求，呼吁吸引力
titanic 巨大的
modicum 少量
fleeting 短暂的
momentum 势头，动力
corrode 削弱，破坏腐蚀
invert 使颠倒，使反转
staid 古板的，严肃的
consternation 惊愕，惊慌失措
preliminary 初步的，预备的
arable 适合耕种的
hand-wringing 绝望
misgiving 疑虑，担忧
unprepossessi 不吸引人的
second 支持
inconsequenti 不重要的
telltale 标志，信
hazard 危险
terrific 极好的
treasure 珍宝珍惜
occlude 阻
substantiate 证实
unflagging 不知疲倦的
utilitarian 实用的
fidelity 忠诚
venal 贪污的，唯利是图的
like-minded 志趣相投的
hypocrisy 伪善
flabbergast 使大吃一惊
consensus 一致意见
exactitude 精确性
scaremonger 危言耸听者
culminate 达到顶峰
rudimentary 基本的未完全发布的
orderly 有秩序的
invalidate 使无效证明错误
retract 撤销，
synoptic 概要的
trusting 信任的，轻信的
stump 难倒
fealty 忠诚
stem 阻止起源
suffocate 抑制窒息
adjunct 附属物
platitudinous 陈腐的
brute 残忍的
grand 宏伟的，壮丽的
insufficient 不充足的
untrammeled 没有限制的
eclipse 衰退使不重要，胜过
stir 搅
loath 不情愿的
flippant 轻率的，轻浮的
latitude 自由度，自由权
analogous 类
imperceptible 难以觉察的
exhale 呼出
labyrinthine 迷宫的，复杂的
lurch 突然倾斜
inveigle 诱骗
salutary 有益的
adversarial 对立的
decay 腐朽
overbearing 傲慢的，专横的
fragile 脆弱的，易碎的
repeal 废除，撤销
lukewarm 不热情的
terrifying 令人
venerate 崇敬
virtue 美德优点
sycophantic 谄
pilfer 偷窃
pioneering 开创性的
pastoral 乡村的
interdisciplinar 跨学科的
obtuse 迟钝的，愚笨的
humble 谦
mockery 嘲笑
trite 陈
despair 绝望
glorify 赞美
retreat 撤退
immure 监禁
vigilant 警惕的
eject 驱逐
extraneous 无关的
insidious 暗中有害的，潜伏的
elucidate 阐明
rehabilitate 恢复
affable 和蔼可亲的
episodic 偶尔发生的，不连贯的
phlegmatic 迟钝的，冷淡的
retinue 随从
convoluted 复杂难解的
brash 自以为是的，鲁莽的
reverse 转向，颠倒
contradictory 矛盾的
blur 使模糊不清
machination 阴谋，诡计
extol 赞扬
downright 完全地，彻
threshold 门槛，开始
vituperate 谩骂，责骂
malicious 恶毒的，恶意的
erstwhile 过去的
pertain 有关从属
emotive 流露感情的
sequester 隔绝
hostile 有敌意的
unyielding 不屈的
profitmonger 唯利是图的人，商人
chauvinism 沙文主义，盲目爱国
manipulate 控制，操纵
repress 抑制，镇压
preponderant 占优势的，压倒性的
treacherous 奸
suffrage 选举权
laurel 桂冠
feckless 软弱的
multifaceted 多层面的
intimidate 恐
parochial 狭隘的
extrapolate 推断
invigorate 鼓舞，使精力充沛
brisk 活泼
unencumbered 无
graze 吃草
temperament 脾气，性情
acquiescence 默许
pejorative 轻蔑的
immerse 使沉浸
provisional 临时的
monopoly 垄断
unmistakable 毋庸置疑的，明显的
impeccable 无瑕疵的
vanquish 彻底
circumvent 避开
consolidate 巩固，加强
gossamer 轻而薄的
construe 诠释，分析
stubborn 固执的难除去的
conciliatory 愿意和解的
welter 混
fundamental 基本的，根本的
assimilate 吸收同化
resurrect 复活
abridge 删减
complicated 复杂难懂的
vernacular 方言
moribund 垂死
misfeasance 不当行为，违法行为
dub 授予称号
discrepancy 矛盾
eschew 避免
notorious 臭名昭著的
yen 渴望
judicial 司法的
vivacious 活泼的
conducive 有助于的
hermetic 密封的，与世隔绝的
equitable 公平的，公正的
falsify 伪
coalesce 合并
buck 抵制，反对
hasty 匆忙的，草率的
touchstone 试金石
brook 容忍
inverse 相反的相反事物，相反数（数学）
placate 安抚
refractory 难驾驭的
procure 获得
prevalent 流行的，普遍的
punctilious 一丝不苟的
stoic 禁欲主义的
diversity 多样性，差异化
momentary 短暂的
accelerate 加速促进
estrange 使疏远
pellucid 清晰的
baleful 有害的
prompt 促使迅捷的
accessible 容易理解的
fanciful 想象的不切实际的
flimsy 脆弱的，轻薄的
fecund 肥沃的，丰饶的
allude 暗指，间接提到
deft 灵巧
alleviate 减轻
mendacity 不诚实
malignant 恶性的
rancor 怨恨
blithe 无忧无虑的，轻松的
stalemate 僵局
brink 边缘
enviable 令人羡慕的
abhor 憎恨
coterminous 毗邻的
heartless 残酷的
appetite 嗜好，欲望
turbid 浑浊
beleaguer 围攻
established 老牌的，已经确立的
violate 违反
precede 比
brittle 易碎的
ardent 热烈的
rejection 拒
thrive 繁荣
luminary 名人，杰出人物
dismantle 拆除
discreet 谨慎的
alacrity 乐意
crumble 崩溃，破碎
coddle 溺爱
interlope 闯入，干涉
competing 相互矛盾的
choke 抑制
implore 恳求，祈求
economy 节约
constitute 形成
repudiate 拒绝承认与断绝关系
fanatic 狂热的
omnivorous 杂食的
chastise 严厉批评
overhaul 彻
perpetuate 使永存
demolish 摧毁，破坏
despot 暴君，独裁者
mercurial 变化无
obedience 服从
brazen 厚颜无耻的
budding 萌芽期的
pretext 借口
baneful 有害的
aberration 异常
diligent 勤奋的
consonant 和谐的，一致的
confound 使迷惑证明有误
spurn 拒绝
flagrant 明目张胆的
succumb 屈服死亡
defect 缺陷
pertinent 相关的
duplicate 复制
shoulder 肩负，承担
slew 许多，大
petulant 脾气暴躁的，任性的
hurtle 猛冲
long-winded 冗长的
allay 减轻，缓和
seep 渗漏
maintain 保持断言
irksome 讨
reciprocate 回报，回应
extirpate 根除
obliterate 清除，摧毁
prolific 多产的
garner 收
upright 笔直的正直的
embargo 禁令
conspicuous 显眼的
makeshift 权宜之计
involuntary 无意识的
equable 平静的
everlasting 永恒的
adjuration 誓言恳求
terse 简短的
orthodox 正统的
dubious 不确定的可疑的
somber 严肃的昏暗的
gingerbread 过分装饰的，华而不实的
inept 无能的
redundant 多余的
emulate 模仿努力赶超
weary 疲倦的，令人厌倦的
reckon 认为估计
inimical 有害的不友好的
lassitude 困乏，厌倦，懒散
asseverate 郑重声明
sluggish 缓慢的
ethereal 优雅的，超凡的
guru 专家，权威
tautology 没必要的重复
ostentatious 炫耀的
facilitate 促进，加
bog 陷入困难
hardy 强壮的，吃苦耐劳的
refreshing 提神的，使人重新振作的
enervate 使衰弱
forbidding 令人生畏的
liken 把
tenuous 纤细的脆弱的
scrupulous 一丝不苟的正直的
sleazy 肮脏的不诚实的，邪恶的
shun 避免
preconception 先入之见
fitful 断断续续的
no-nonsense 严肃的，高效干练的
upend 颠倒
hedge 回避
mount 增
pointless 无意义的
quintessential 典型的，精髓的
harry 掠夺，侵扰
codify 整理
impervious 不受影响的不能渗透的
wilt 枯萎，凋谢
reactivate 恢复
candid 真诚的
indebted 感激的
paralyze 使无能力，使瘫痪
axiomatic 公理的，不
precursor 先驱
tailor 剪裁，使合适
obesity 肥胖
dwarf 侏儒
frantic 狂躁的，狂乱的
promulgate 宣传
intransigent 不妥协的
prosaic 乏味的
conundrum 复杂难解的问题
arcane 难
panorama 全景，全貌
niche 合适的职业，合适的工作
trumpet 吹嘘
vendor 小贩，供应商
abundance 大量
oblivious 遗忘的
privilege 特权
acme 顶点，极点
heed 注意，
demanding 苛求的
whit 一点点，一些
trauma 创伤
stun 使惊讶
seminal 开创性的
pompous 自大的
profess 公开宣称信奉
yardstick 衡量标准
unfaltering 坚定的
unassailable 毋庸置疑的
counterbalanc 平衡，抵消
prototype 原型，雏形
vicinity 附近
velocity 速度
concomitant 伴随的
quandary 困境，困惑
anarchy 混乱
squelch 消除，镇压
peculiar 奇
valediction 告别
totalitarian 极权主义的
outmoded 过时的
nexus 连接，联
derogate 贬低，诽谤
dump 倾倒，丢下
archaic 古老的
cure-all 万灵药
precocious 早熟的
fabricate 制造捏造，伪造
hierarchical 等级制度的
devious 狡诈的弯曲的
fairness 公平
sequential 连续的，顺序的
inveterate 根深蒂固的
commensurate 相称的
transmogrify 使改变
escalate 增强，增加，加剧
supernatural 超自然的，神奇的
overwrought 过度
futurity 未来，将来
pervasive 普遍的，弥漫的
entrance 使入迷
premature 提早的
clerical 职员的，牧师的
tangible 可触
dedicate 致力于
ingenious 机
favorable 赞同的有利的
countenance 赞同
oscillate 摇摆不定
goad 刺激，激励
open-ended 开放式的
foment 煽动，挑起
pristine 原始的崭新的
pillage 抢
frustrating 令人沮丧的
hiatus 间隙
ungainly 笨拙的，不优雅的
eliminate 消除淘汰
erect 竖立
bustling 忙乱
maelstrom 极度混乱
remiss 懈怠的
cavil 吹毛求疵
superfluous 多余的
dewy-eyed 天真的，容易相信的
kindle 激起
scandal 丑闻
adulation 谄媚
unerring 万无一失的
scatter 分散，散开
prescriptive 指定的，规定的
monotonous 单调的
inspire 使产生激起，引起
consign 委托，转交
replenish 补
distress 悲痛
proffer 提供，提出
parameter 参数，系数
rebellious 反抗的
disguise 掩饰，隐藏
competent 能干的，胜任的
curb 抑制，
trifling 微不足道的
intrepid 勇敢的，无畏的
enact 颁布，制定
perspicacious 有洞察力的
bemuse 使困惑
tether 限制，束缚
clumsy 笨拙的
quibble 争论，吹毛求疵
propound 提出
imperil 危及
benighted 愚昧
reassure 安心的，可靠的
spark 导致，引
artificial 虚假的人造的
diatribe 抨击
probity 诚实，正直
capture 俘获
atypical 非典
exigent 迫切的
fissure 裂缝
untether 脱离
paradigm 模板，典范
glancing 间接的，次要的倾斜的
distort 歪曲
omit 遗漏
dazzling 令人眼花缭乱的
imperturbable 冷静的
undeniable 不可
snub 冷落
heartfelt 真诚的
fusion 融合
cannibalize 剥夺
kindred 同类的，
humdrum 单调的，乏味的
perforate 贯
unexampled 前所未有的
hamstring 使无能为力
nuance 细微差别
wallow 沉溺于
strenuous 艰苦的，费劲的
testing 难对付的，棘手的
reticent 缄默的
propitiate 和解，抚慰
transient 短暂的
headlong 轻
accommodate 适应容纳
canned 无新意的
relegate 把贬低
illustrious 著名的，杰出的
pseudonym 笔名，假名
insufferable 难以忍受的
manacle 束缚
croon 低吟浅唱
lengthy 冗长的
disposable 一次性的
sanctimonious 假装（比别人）圣洁的
intact 完整的，完好无损的
witless 愚
enterprising 有进取心的
vehement 激烈的
successor 继承者，
limp 跛行，艰难前行
retention 保
self-styled 自称
